Treatment;Strain;Repetition;Concentration ppm;Replicate;Day;Colony diameter ;CD
Timorex;S8;2;0,1;3;7;50,7;45,7
Timorex;S23;3;0;1;7;58;53
Timorex;S20;3;0;1;7;55;50
Timorex;S8;3;0;11;7;48;43
Timorex;S23;3;0,1;1;7;57;52
Timorex;S20;3;0,1;1;7;49;44
Timorex;S8;3;0,1;1;7;49;44
Timorex;S23;3;1;1;7;47;42
Timorex;S20;3;1;1;7;43;38
Timorex;S8;3;1;1;7;41;36
Timorex;S23;3;10;1;7;43,5;38,5
Timorex;S20;3;10;1;7;40;35
Timorex;S8;3;10;1;7;40;35
Timorex;S23;3;100;1;7;38;33
Timorex;S20;3;100;1;7;35;30
Timorex;S8;3;100;1;7;37;32
Timorex;S23;3;500;1;7;34;29
Timorex;S20;3;500;1;7;28;23
Timorex;S8;3;500;1;7;29;24
Timorex;S23;3;1000;1;7;14;9
Timorex;S20;3;1000;1;7;13;8
Timorex;S8;3;1000;1;7;11;6
Timorex;S23;3;0;2;7;60;55
Timorex;S20;3;0;2;7;54;49
Timorex;S8;3;0;2;7;49;44
Timorex;S23;3;0,1;2;7;58;53
Timorex;S20;3;0,1;2;7;51;46
Timorex;S8;3;0,1;2;7;52;47
Timorex;S23;3;1;2;7;48;43
Timorex;S20;3;1;2;7;42;37
Timorex;S8;3;1;2;7;40;35
Timorex;S23;3;10;2;7;44,5;39,5
Timorex;S20;3;10;2;7;40;35
Timorex;S8;3;10;2;7;39;34
Timorex;S23;3;100;2;7;39;34
Timorex;S20;3;100;2;7;34,5;29,5
Timorex;S8;3;100;2;7;33;28
Timorex;S23;3;500;2;7;33,5;28,5
Timorex;S20;3;500;2;7;27;22
Timorex;S8;3;500;2;7;29;24
Timorex;S23;3;1000;2;7;14;9
Timorex;S20;3;1000;2;7;13;8
Timorex;S8;3;1000;2;7;11;6
Timorex;S23;3;0;3;7;61;56
Timorex;S20;3;0;3;7;53;48
Timorex;S8;3;0;3;7;50;45
Timorex;S23;3;0,1;3;7;58;53
Timorex;S20;3;0,1;3;7;50;45
Timorex;S8;3;0,1;3;7;51;46
Timorex;S23;3;1;3;7;47;42
Timorex;S20;3;1;3;7;41;36
Timorex;S8;3;1;3;7;40;35
Timorex;S23;3;10;3;7;44,5;39,5
Timorex;S20;3;10;3;7;41;36
Timorex;S8;3;10;3;7;38;33
Timorex;S23;3;100;3;7;41;36
Timorex;S20;3;100;3;7;33;28
Timorex;S8;3;100;3;7;34;29
Timorex;S23;3;500;3;7;33;28
Timorex;S20;3;500;3;7;27;22
Timorex;S8;3;500;3;7;30;25
Timorex;S23;3;1000;3;7;14,5;9,5
Timorex;S20;3;1000;3;7;13;8
Timorex;S8;3;1000;3;7;11;6
Merpan;S23;1;0;1;7;58;53
Merpan;S23;1;0;2;7;60;55
Merpan;S23;1;0;3;7;61;56
Merpan;S20;1;0;1;7;57;52
Merpan;S20;1;0;2;7;58;53
Merpan;S20;1;0;3;7;57;52
Merpan;S8;1;0;1;7;55;50
Merpan;S8;1;0;2;7;55;50
Merpan;S8;1;0;3;7;57;52
Merpan;S23;1;1000;1;7;17;12
Merpan;S23;1;1000;2;7;17;12
Merpan;S23;1;1000;3;7;18;13
Merpan;S20;1;1000;1;7;15;10
Merpan;S20;1;1000;2;7;17;12
Merpan;S20;1;1000;3;7;17;12
Merpan;S8;1;1000;1;7;12;7
Merpan;S8;1;1000;2;7;12;7
Merpan;S8;1;1000;3;7;12;7
Merpan;S23;1;500;1;7;24;19
Merpan;S23;1;500;2;7;25;20
Merpan;S23;1;500;3;7;25;20
Merpan;S20;1;500;1;7;22;17
Merpan;S20;1;500;2;7;23;18
Merpan;S20;1;500;3;7;22;17
Merpan;S8;1;500;1;7;17;12
Merpan;S8;1;500;2;7;17;12
Merpan;S8;1;500;3;7;17;12
Merpan;S23;1;100;1;7;31;26
Merpan;S23;1;100;2;7;30;25
Merpan;S23;1;100;3;7;31;26
Merpan;S20;1;100;1;7;29;24
Merpan;S20;1;100;2;7;27;22
Merpan;S20;1;100;3;7;29;24
Merpan;S8;1;100;1;7;24;19
Merpan;S8;1;100;2;7;22;17
Merpan;S8;1;100;3;7;23;18
Merpan;S23;1;10;1;7;35;30
Merpan;S23;1;10;2;7;35;30
Merpan;S23;1;10;3;7;36;31
Merpan;S20;1;10;1;7;30;25
Merpan;S20;1;10;2;7;32;27
Merpan;S20;1;10;3;7;32;27
Merpan;S8;1;10;1;7;36;31
Merpan;S8;1;10;2;7;35;30
Merpan;S8;1;10;3;7;35;30
Merpan;S23;1;1;1;7;45;40
Merpan;S23;1;1;2;7;44;39
Merpan;S23;1;1;3;7;43,5;38,5
Merpan;S20;1;1;1;7;44;39
Merpan;S20;1;1;2;7;43;38
Merpan;S20;1;1;3;7;45;40
Merpan;S8;1;1;1;7;45;40
Merpan;S8;1;1;2;7;45;40
Merpan;S8;1;1;3;7;44;39
Merpan;S23;1;0,1;1;7;57;52
Merpan;S23;1;0,1;2;7;58;53
Merpan;S23;1;0,1;3;7;58;53
Merpan;S20;1;0,1;1;7;55;50
Merpan;S20;1;0,1;2;7;54;49
Merpan;S20;1;0,1;3;7;53;48
Merpan;S8;1;0,1;1;7;52;47
Merpan;S8;1;0,1;2;7;50;45
Merpan;S8;1;0,1;3;7;50;45
Merpan;S23;2;0;1;7;57,8;52,8
Merpan;S23;2;0;2;7;59,9;54,9
Merpan;S23;2;0;3;7;61;56
Merpan;S20;2;0;1;7;56,9;51,9
